Harvest_year,Company,Tobacco_Type,Class,R$_Kg
2021_2022,JTI,Virginia,T O 1,15.17
2021_2022,JTI,Virginia,T O 2,12.82
2021_2022,JTI,Virginia,T O 3,10.49
2021_2022,JTI,Virginia,T R 1,11.84
2021_2022,JTI,Virginia,T R 2,8.11
2021_2022,JTI,Virginia,T R 3,4.31
2021_2022,JTI,Virginia,T L 1,9.13
2021_2022,JTI,Virginia,T L 2,6.83
2021_2022,JTI,Virginia,T K,4.81
2021_2022,JTI,Virginia,B O 1,15.98
2021_2022,JTI,Virginia,B O 2,13.81
2021_2022,JTI,Virginia,B O 3,10.74
2021_2022,JTI,Virginia,B R 1,12.64
2021_2022,JTI,Virginia,B R 2,9.12
2021_2022,JTI,Virginia,B R 3,5.57
2021_2022,JTI,Virginia,B L 1,11.29
2021_2022,JTI,Virginia,B L 2,8.92
2021_2022,JTI,Virginia,B K,6.28
2021_2022,JTI,Virginia,C O 1,24.79
2021_2022,JTI,Virginia,C O 2,12.60
2021_2022,JTI,Virginia,C O 3,10.12
2021_2022,JTI,Virginia,C R 1,10.54
2021_2022,JTI,Virginia,C R 2,7.20
2021_2022,JTI,Virginia,C R 3,4.23
2021_2022,JTI,Virginia,C L 1,10.39
2021_2022,JTI,Virginia,C L 2,8.22
2021_2022,JTI,Virginia,C K,5.02
2021_2022,JTI,Virginia,X O 1,12.60
2021_2022,JTI,Virginia,X O 2,10.92
2021_2022,JTI,Virginia,X O 3,8.65
2021_2022,JTI,Virginia,X R 1,9.77
2021_2022,JTI,Virginia,X R 2,5.83
2021_2022,JTI,Virginia,X R 3,3.18
2021_2022,JTI,Virginia,X L 1,9.13
2021_2022,JTI,Virginia,X L 2,7.25
2021_2022,JTI,Virginia,X K,3.68
2021_2022,JTI,Virginia,G 2,4.81
2021_2022,JTI,Virginia,G 3,1.23
2021_2022,JTI,Virginia,N,2.97
2021_2022,JTI,Virginia,S C,1.12
2021_2022,JTI,Virginia,S T,0.69
2021_2022,JTI,Burley,T 1,13.28
2021_2022,JTI,Burley,T 1 L,11.98
2021_2022,JTI,Burley,T 2,11.56
2021_2022,JTI,Burley,T 2 L,9.09
2021_2022,JTI,Burley,T 3,8.13
2021_2022,JTI,Burley,T 3 L,7.16
2021_2022,JTI,Burley,T K,5.19
2021_2022,JTI,Burley,B 1,13.81
2021_2022,JTI,Burley,B 1 L,12.44
2021_2022,JTI,Burley,B 2,11.75
2021_2022,JTI,Burley,B 2 L,10.24
2021_2022,JTI,Burley,B 3,9.23
2021_2022,JTI,Burley,B 3 L,7.67
2021_2022,JTI,Burley,B K,6.52
2021_2022,JTI,Burley,C 1,13.49
2021_2022,JTI,Burley,C 1 L,12.35
2021_2022,JTI,Burley,C 2,11.69
2021_2022,JTI,Burley,C 2 L,10.24
2021_2022,JTI,Burley,C 3,8.97
2021_2022,JTI,Burley,C 3 L,7.42
2021_2022,JTI,Burley,C K,6.52
2021_2022,JTI,Burley,X 1,12.41
2021_2022,JTI,Burley,X 1 L,11.93
2021_2022,JTI,Burley,X 2,10.55
2021_2022,JTI,Burley,X 2 L,9.77
2021_2022,JTI,Burley,X 3,8.13
2021_2022,JTI,Burley,X 3 L,7.42
2021_2022,JTI,Burley,X K,5.81
