Week Ending/Date,Kolkata,Guwahati,Siliguri,Jalpaiguri,mjunction,Cochin,Coonoor,Coimbatore,Tea Serve
01/01/1900,N.S.,N.S.,79.99,N.S.,,90.19,71.64,72.63,64.77
01/01/1900,87.52,80.30,N.S.,N.S.,,89.21,71.92,71.43,62.85
01/01/1900,92.20,N.S.,82.52,N.S.,,86.25,71.55,70.82,64.34
01/01/1900,106.69,86.81,89.23,N.S.,,83.67,71.97,70.87,64.46
01/01/1900,108.90,86.95,96.18,N.S.,,82.19,71.37,70.06,64.24
27/12/2008,103.39,87.25,84.90,N.S.,,N.S.,N.S.,N.S.,64.4
20/12/2008,104.46,89.05,86.30,N.S.,,77.65,65.74,69.01,59.0
13/12/2008,105.00,89.91,86.17,N.S.,,75.13,61.88,64.50,56.5
06/12/2008,108.20,94.72,85.79,N.S.,,70.67,59.19,60.17,57.37
29/11/2008,109.96,96.85,86.99,N.S.,,79.50,60.97,61.46,59.31
22/11/2008,108.40,96.76,86.72,N.S.,,83.90,66.11,68.63,63.78
15/11/2008,109.03,98.77,89.07,N.S.,,81.31,68.07,71.00,65.17
08/11/2008,107.71,100.19,90.18,N.S.,,N.S.,69.12,70.73,65.37
01/11/2008,109.46,101.34,90.01,N.S.,,83.95,74.88,72.75,68.22
25/10/2008,114.23,106.50,96.21,N.S.,,90.24,79.69,N.S.,75.94
18/10/2008,113.59,107.29,98.95,N.S.,,93.65,83.14,84.21,79.83
11/10/2008,N.S.,N.S.,N.S.,N.S.,,91.01,82.26,84.37,79.08
04/10/2008,111.43,105.19,97.97,N.S.,,90.63,80.32,82.36,76.96
27/09/2008,109.64,105.57,97.14,N.S.,,99.95,83.73,87.14,82.95
20/09/2008,108.36,102.49,97.94,N.S.,,95.39,83.36,86.45,79.72
13/09/2008,103.26,98.78,91.65,N.S.,,N.S.,75.47,79.64,71.44
06/09/2008,102.05,97.33,88.80,N.S.,,86.09,71.96,75.18,68.57
30/08/2008,100.87,95.96,88.54,N.S.,,81.37,70.36,71.79,67.9
23/08/2008,102.00,96.18,89.13,N.S.,,81.64,70.75,73.02,68.96
16/08/2008,100.64,95.55,88.31,N.S.,,81.39,71.62,74.72,70.51
09/08/2008,98.50,93.18,87.57,N.S.,,76.23,69.80,70.66,68.83
02/08/2008,97.27,92.36,87.63,N.S.,,72.88,67.21,68.90,65.9
26/07/2008,97.86,91.84,86.69,N.S.,,67.50,63.98,65.86,64.08
